start,end,max_mahal_sq,fms_index,fms_value
154002.2964,154055.3733,68.33906024455588,0,0.0
166574.9789,166649.1969,206.56506071275862,0,0.0
199589.7404,199644.6455,7640.798329216912,0,0.0
226165.9018,226258.2181,61.233541156909716,1,2.0
226538.4755,226589.9287,37.7761410425891,1,2.0
277726.5315,277877.9157,87.98277820180996,2,3.0
288524.8422,288578.1671,258.50281374349265,2,3.0
309538.8394,309596.06,103.26400746006445,2,3.0
315929.9668,316165.3829,62.68975090677816,2,3.0
316661.7215,316716.4838,70.2047970958249,2,3.0
320284.2429,320435.973,60.72673977993807,3,4.0
320667.5973,320729.1486,82.34052780309767,3,4.0
350126.0328,350203.9001,68.81341671725832,3,4.0
380492.2573,380577.1462,67.27316013189575,4,5.0
383593.195,383643.2001,59.3326055586347,4,5.0
410453.5385,410512.0332,82.28794543594273,4,5.0
418102.7131,418156.7175,79.02148641599902,4,5.0
444122.4677,444194.1352,70.19214273682523,5,6.0
469066.3777,469153.4313,729.6579389966196,5,6.0
480888.8756,480952.7244,76.62342948304645,5,6.0
504899.3419,504988.4644,122.31145988277733,6,7.0
508037.2373,508236.5405,68.70216709309133,6,7.0
541373.1252,541431.3184,76.12679567834155,6,7.0
542765.2807,542816.1241,161.09158929782063,6,7.0
566399.3342,566608.3345,542.4918283366259,7,7.0
566955.8599,567351.5639,130.05286210455324,7,7.0
568100.3104,568177.1243,114.16128700297848,7,7.0
568683.6094,568739.1059,165.55523446079954,7,7.0
607295.5456,607382.4406,110.12895005905699,7,7.0
617888.2018,617938.2461,107.26695460963334,7,7.0
628784.1057,628834.3565,125.0413620728138,8,7.0
640610.6426,640668.5749,42.27359525529054,8,7.0
640832.8281,640900.1938,64.54302777907402,8,7.0
644367.6474,644431.796,57.119656883873574,8,7.0
651407.8948,651473.7257,50.779647218989865,8,7.0
689959.8363,690010.0115,242.75529283931746,9,7.0
690115.0361,690294.2306,191.498661940719,9,7.0
727731.0796,727810.1219,115.90024445015906,9,7.0
730965.6976,731026.863,74.42981843850298,9,7.0
747930.9974,747997.8218,57.20174719814497,10,7.0
748497.8106,748700.1471,104.89106526793499,10,7.0
749053.6537,749114.2277,147.84588075923162,10,7.0
753749.4793,753813.4296,77.04430355080228,10,7.0
754764.5215,754870.7495,79.7474471283682,10,7.0
755071.7771,755149.2754,76.08432941889018,10,7.0
755825.6864,755898.6733,295.4530801999157,10,7.0
758302.6338,758462.0694,88.04864241332092,10,7.0
758512.3569,758612.5538,68.83794774533065,10,7.0
789419.3923,789501.8364,610.6193502777518,10,7.0
797359.6487,797415.3934,102.45088053434348,10,7.0
802286.6594,802518.7411,493.06114096425136,11,7.0
815275.6719,815327.3374,362.7521340249586,11,7.0
816108.9852,816232.6905,88.14177622090128,11,7.0
826860.3717,826941.0144,107.90765601261303,11,7.0
833543.5602,833618.7722,55.189403628632284,11,7.0
842614.7015,842667.1709,57.1856553181686,11,7.0
850933.5605,851125.5486,457.05624875340544,11,7.0
876785.1485,876916.7584,112.14125025995914,12,7.0
883552.072,883603.2141,153.11818482119813,12,7.0
900494.0631,900546.2298,533.618933577643,12,7.0
915884.4618,915943.1587,134.25144608890906,12,7.0
933153.2756,933392.7642,104.2391729033122,13,7.0
935187.6174,935527.5922,109.04962939275275,13,7.0
941043.8529,941144.2871,202.98403998527456,13,7.0
942236.3435,942308.2722,67.19624608575084,13,7.0
947025.1513,947108.3377,60.54449466229774,13,7.0
956661.7199,956713.0833,25.475037357928365,13,7.0
970111.3669,970165.8445,22.839475083746972,13,7.0
972763.9753,972844.1037,260.61375618625044,13,7.0
985319.8063,985584.8135,145.17397168994125,14,
1009948.6875,1010034.8828,72.76382168893524,14,
1018641.9047,1018751.9985,322.2219867251958,14,
1062284.117,1062340.2266,47.61089040168852,15,
1073887.8981,1073946.2924,129.03061551145095,15,
